EASINID,Name,Authorship,FirstIntroductionsInEU,PresentInCountries,Status,HasImpact,IsEUConcern,EUConcernName,IsOutermostConcern,ConcernedOutermostRegions,IsMSConcern,ConcernedMS,IsPartNative,NativeRange,IsHorizonScanning,LastRevisionDate,Kingdom,Phylum,Class,Order,Family,CommonNames,Synonyms,CBD_Pathways
R18864,Acer opalus subsp. obtusatum,(Waldst. & Kit. ex Willd.) Gams,,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Aceraceae,,,
R00118,Acer palmatum,Thunb.,,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Aceraceae,,,
R00119,Acer platanoides,L.,,,A,TRUE,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Aceraceae,,,
R00120,Acer pseudoplatanus,L.,,,A,TRUE,FALSE,,TRUE,,FALSE,,TRUE,,FALSE,,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Aceraceae,,,
R00121,Acer rufinerve,Siebold & Zucc.,,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Aceraceae,,,
R00122,Acer saccharinum,L.,,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Aceraceae,,,
R00123,Acer saccharum,Marshall,,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Aceraceae,,,
R00124,Acer spicatum,Lam.,,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Aceraceae,,,
R00126,Acer tataricum subsp. ginnala,(Maxim.) Wesm.,,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Aceraceae,,,
R00127,Acer tataricum subsp. tataricum,,,,A,FALSE,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Aceraceae,,,
R00128,Acer tegmentosum,Maxim.,,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Aceraceae,,,
R00129,Aceratoneuromyia indica,"(Silvestri, 1910)",,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Animalia,Arthropoda,Insecta,Hymenoptera,Eulophidae,,,
R16887,Aceria alpestris,"(Nalepa, 1892)",,,A,FALSE,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,Animalia,Arthropoda,Arachnida,Prostigmata,Eriophyidae,,,
R16888,Aceria ambrosiae,"Wilson, 1959",,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Animalia,Arthropoda,Arachnida,Prostigmata,Eriophyidae,,,
R16889,Aceria byersi,"Keifer, 1961",,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Animalia,Arthropoda,Arachnida,Prostigmata,Eriophyidae,,,
R16890,Aceria caliberberis,"Keifer, 1952",,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Animalia,Arthropoda,Arachnida,Prostigmata,Eriophyidae,,,
R00130,Aceria erinea,"(Nalepa, 1891)",,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Animalia,Arthropoda,Arachnida,Prostigmata,Eriophyidae,,,
R17666,Aceria kuko,"(Kishida), 1927",,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Animalia,Arthropoda,Arachnida,Prostigmata,Eriophyidae,,,
R16891,Aceria ligustri,"(Keifer, 1943)",,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Animalia,Arthropoda,Arachnida,Prostigmata,Eriophyidae,,,
R16892,Aceria loewi,"(Nalepa, 1890)",,,A,FALSE,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,Animalia,Arthropoda,Arachnida,Prostigmata,Eriophyidae,,,
R00131,Aceria mangiferae,"Sayed, 1946",,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Animalia,Arthropoda,Arachnida,Prostigmata,Eriophyidae,,,
R16893,Aceria neocynarae,"(Keifer, 1939)",,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Animalia,Arthropoda,Arachnida,Prostigmata,Eriophyidae,,,
R16894,Aceria paradianthi,"Keifer, 1952",,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Animalia,Arthropoda,Arachnida,Prostigmata,Eriophyidae,,,
R16895,Aceria petanovicae,"Nalepa, 1925",,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Animalia,Arthropoda,Arachnida,Prostigmata,Eriophyidae,,,
R16896,Aceria sawatchense,"Keifer, 1965",,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Animalia,Arthropoda,Arachnida,Prostigmata,Eriophyidae,,,
R00132,Aceria sheldoni,"(Ewing, 1937)",,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Animalia,Arthropoda,Arachnida,Prostigmata,Eriophyidae,,,
R00133,Aceria stefanii,"(Nalepa, 1898)",,,A,FALSE,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,Animalia,Arthropoda,Arachnida,Prostigmata,Eriophyidae,,,
R00134,Aceria tamaricis,"(Trotter, 1901)",,,A,FALSE,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,Animalia,Arthropoda,Arachnida,Prostigmata,Eriophyidae,,,
R00135,Aceria tristriata,"(Nalepa, 1890)",,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Animalia,Arthropoda,Arachnida,Prostigmata,Eriophyidae,,,
R17727,Acerophagus angelicus,"Smith, 1880",,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Animalia,Arthropoda,Insecta,Hymenoptera,Encyrtidae,,,
R17728,Acerophagus maculipennis,"(Mercet, 1923)",,,A,FALSE,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,Animalia,Arthropoda,Insecta,Hymenoptera,Encyrtidae,,,
R17729,Acerophagus malinus,,,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Animalia,Arthropoda,Insecta,Hymenoptera,Encyrtidae,,,
R17766,Acharia stimulea,"(Clemens, 1860)",,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Animalia,Arthropoda,Insecta,Lepidoptera,Limacodidae,,,
R19256,Achatina achatina,"(Linnaeus, 1758)",,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Animalia,Mollusca,Gastropoda,Stylommatophora,Achatinidae,,,
R19267,Achatina tincta,"Reeve, 1842",,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Animalia,Mollusca,Gastropoda,Stylommatophora,Achatinidae,,,
R19662,Achelia sawayai s.l.,"Marcus, 1940",,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Animalia,Arthropoda,Pycnogonida,Pantopoda,Ammotheidae,,,
R00142,Acheta domesticus,"(Linnaeus, 1758)",,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Animalia,Arthropoda,Insecta,Orthoptera,Gryllidae,,,
R00143,Achillea ageratum,L.,,,A,FALSE,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,,,
R00145,Achillea arabica,Kotschy,,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,,,
R18484,Achillea aspleniifolia,Vent.,,,A,FALSE,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,,,
R00147,Achillea collina,Schur ex Nyman,,,A,FALSE,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,,,
R00148,Achillea crithmifolia,Hampe,,,A,FALSE,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,,,
R00149,Achillea distans,Waldst. & Kit. ex Willd.,,,A,FALSE,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,,,
R18487,Achillea distans subsp. stricta,Janch.,,,C,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,,,
R00150,Achillea distans subsp. tanacetifolia,(All.) Janch.,,,A,FALSE,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,,,
R00151,Achillea filipendulina,Lam.,,,A,FALSE,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,,,
R00152,Achillea grandifolia,M.Bieb.,,,A,FALSE,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,,,
R00153,Achillea ligustica,All.,,,A,FALSE,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,,,
R10574,Achillea maritima,(L.) Ehrend. & Y.P.Guo,,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Boraginaceae,,,
R00155,Achillea millefolium,L.,,,A,FALSE,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,,,
R00157,Achillea nobilis,Roch. ex Nyman,,,A,FALSE,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,,,
R18486,Achillea pannonica,Scheele,,,A,FALSE,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,,,
R00159,Achillea ptarmica,L.,,,A,FALSE,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,,,
R00161,Achillea roseo-alba,Ehrend.,,,C,FALSE,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,,,
R18485,Achillea salicifolia,Besser,,,A,FALSE,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,,,
R00163,Achillea setacea,Schwein.,,,A,FALSE,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,,,
R17433,Achnanthes pseudogroenlandica,"Hendey, 1964",,,C,FALSE,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,Chromista,Ochrophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,,,
R00168,Achrophyllum dentatum,(Hook.f. & Wilson) Vitt & Crosby,,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Plantae,Bryophyta,Bryopsida,Hookeriales,Hookeriaceae,,,
R00169,Achyranthes aspera,L.,,,A,TRUE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,,,
R00171,Acidovorax citrulli,"(Schaad et al., 1978) Schaad et al., 2009",,,A,FALSE,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,,,
R00172,Acinipe hesperica,"Rambur, 1838",,,A,FALSE,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,Animalia,Arthropoda,Insecta,Orthoptera,Pamphagidae,,,
R00174,Acipenser baerii,"Brandt, 1869",,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,,Animalia,Chordata,Actinopterygii,Acipenseriformes,Acipenseridae,,,
R00176,Acipenser gueldenstaedtii,"Brandt & Ratzeburg, 1831",,,A,FALSE,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,Animalia,Chordata,Actinopterygii,Acipenseriformes,Acipenseridae,,,
R00179,Acipenser ruthenus,"Linnaeus, 1758",,,A,FALSE,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,Animalia,Chordata,Actinopterygii,Acipenseriformes,Acipenseridae,,,
R00181,Acipenser stellatus,"Pallas, 1771",,,A,FALSE,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,Animalia,Chordata,Actinopterygii,Acipenseriformes,Acipenseridae,,,
R18245,Acipenser sturio,"Linnaeus, 1758",,,C,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Animalia,Chordata,Actinopterygii,Acipenseriformes,Acipenseridae,,,
R00182,Acipenser transmontanus,"Richardson, 1836",,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Animalia,Chordata,Actinopterygii,Acipenseriformes,Acipenseridae,,,
R00183,Acipenserobdella volgensis,"Epstein, 1969",,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Animalia,Annelida,Clitellata,Rhynchobdellida,Piscicolidae,,,
R00184,Acizzia acaciaebaileyanae,"(Froggatt, 1901)",,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Animalia,Arthropoda,Insecta,Hemiptera,Psyllidae,,,
R00185,Acizzia hollisi,"Burckhardt, 1981",,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Animalia,Arthropoda,Insecta,Hemiptera,Psyllidae,,,
R00186,Acizzia jamatonica,"(Kuwayama, 1908)",,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Animalia,Arthropoda,Insecta,Hemiptera,Psyllidae,,,
R00187,Acizzia uncatoides,"(Ferris & Klyver, 1932)",,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Animalia,Arthropoda,Insecta,Hemiptera,Psyllidae,,,
R17864,Aclees cribratus,"Gyllenhal, 1835",,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Animalia,Arthropoda,Insecta,Coleoptera,Curculionidae,,,
R20026,Aclees taiwanensis,H.Kôno,,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Animalia,Arthropoda,Insecta,Coleoptera,Curculionidae,,,
R00188,Acleris undulana,"(Walsingham, 1900)",,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,,,
R00189,Acleris variegana,"(Denis & Schiffermuller, 1775)",,,A,FALSE,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,,,
R16898,Aclypea opaca,"(Linnaeus, 1758)",,,A,FALSE,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,Animalia,Arthropoda,Insecta,Coleoptera,Silphidae,,,
R17639,Acomys minous,"Bate, 1906",,,C,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Animalia,Chordata,Mammalia,Rodentia,Muridae,,,
R17640,Acomys nesiotes,"Bate, 1903",,,C,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Animalia,Chordata,Mammalia,Rodentia,Muridae,,,
R18361,Aconitum lasiostomum,Spreng.,,,A,FALSE,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,,,
R00193,Aconitum napellus,L.,,,A,FALSE,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,,,
R00194,Aconitum napellus subsp. lusitanicum,Rouy,,,A,FALSE,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,,,
R00197,Aconitum reclinatum,A.Gray,,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,,,
R00199,Aconitum variegatum,L.,,,A,FALSE,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,,,
R18362,Aconitum vulparia,Rchb.,,,A,FALSE,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,,,
R00200,Aconitum x cammarum,L.,,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,,,
R00201,Aconogonon coriarium,(Grig.) Soják,,,Q,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Plantae,Tracheophyta,Magnoliopsida,Polygonales,Polygonaceae,,,
R00203,Aconogonon savatieri,(Nakai) Tzvelev,,,Q,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Plantae,Tracheophyta,Magnoliopsida,Polygonales,Polygonaceae,,,
R16899,Acontia candefacta,"(Hubner, 1831)",,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,,,
R00206,Acontia crocata,"Guenée, 1852",,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,,,
R00207,Acorus calamus,L.,,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Plantae,Tracheophyta,Magnoliopsida,Arales,Acoraceae,,,
R00208,Acorus gramineus,Aiton,,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Plantae,Tracheophyta,Magnoliopsida,Arales,Acoraceae,,,
R00209,Acremonium cucurbitacearum,"Alfaro-García, W.Gams & García-Jim.",,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Incertae sedis,,,
R19713,Acridotheres albocinctus,"Godwin-Austen & Walden, 1875",,,A,TRUE,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,,Animalia,Chordata,Aves,Passeriformes,Sturnidae,,,
R00210,Acridotheres cristatellus,"(Linnaeus, 1758)",,,A,TRUE,TRUE, ,TRUE,,TRUE,,FALSE,,FALSE,,Animalia,Chordata,Aves,Passeriformes,Sturnidae,,,
R19748,Acridotheres ginginianus,"(Latham, 1790)",,,A,TRUE,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,,Animalia,Chordata,Aves,Passeriformes,Sturnidae,,,
R00212,Acridotheres tristis,"(Linnaeus, 1766)",,,A,TRUE,TRUE,,TRUE,,TRUE,,FALSE,,FALSE,,Animalia,Chordata,Aves,Passeriformes,Sturnidae,,,
R00213,Acritus analis,"J.L.LeConte, 1853",,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Animalia,Arthropoda,Insecta,Coleoptera,Histeridae,,,
R00214,Acritus nigricornis,"(Hoffmann, 1803)",,,A,FALSE,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,Animalia,Arthropoda,Insecta,Coleoptera,Histeridae,,,
R19667,Acrocalanus gibber,"Giesbrecht, 1888",,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Animalia,Arthropoda,Hexanauplia,Calanoida,Paracalanidae,,,
R16355,Acrochaetium robustum,Børgesen,,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Plantae,Rhodophyta,Florideophyceae,Acrochaetiales,Acrochaetiaceae,,,
R16356,Acrochaetium spathoglossi,Børgesen,,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Plantae,Rhodophyta,Florideophyceae,Acrochaetiales,Acrochaetiaceae,,,
R16357,Acrochaetium subseriatum,"Børgesen, 1932",,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Plantae,Rhodophyta,Florideophyceae,Acrochaetiales,Acrochaetiaceae,,,
R00218,Acrocinus longimanus,"(Linnaeus, 1758)",,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,,,
R00219,Acrocrypta purpurea,"Baly, 1877",,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Animalia,Arthropoda,Insecta,Coleoptera,Chrysomelidae,,,
R20263,Acromegalomma claparedei,"(Gravier, 1906) ",,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Animalia,Annelida,Polychaeta,Sabellida,Sabellidae,,,
R18216,Acropoma japonicum,"Günther, 1859",,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Animalia,Chordata,Actinopterygii,Perciformes,Acropomatidae,,,
R00225,Acrotelsa collaris,"(Fabricius, 1793)",,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Animalia,Arthropoda,Insecta,Zygentoma,Lepismatidae,,,
R18042,Acrotelsella impudica,"Silvestri, 1935",,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Animalia,Arthropoda,Insecta,Zygentoma,Lepismatidae,,,
R00226,Acrothamnion preissii,"(Sonder) E.M.Wollaston, 1968",,,A,TRUE,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Champiaceae,,,
R00227,Acrothrix gracilis,Kylin,,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Chromista,Ochrophyta,Phaeophyceae,Ectocarpales,Chordariaceae,,,
R00229,Acrotona parens,"(Mulsant & Rey, 1851)",,,A,FALSE,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,,,
R00230,Acrotona pseudotenera,"(Cameron, 1933)",,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,,,
R00231,Acrotrichis cognata,"(A.Matthews, 1877)",,,A,FALSE,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,Animalia,Arthropoda,Insecta,Coleoptera,Ptiliidae,,,
R00232,Acrotrichis henrici,"(A.Matthews, 1872)",,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Animalia,Arthropoda,Insecta,Coleoptera,Ptiliidae,,,
R00233,Acrotrichis insularis,"(Mäklin, 1852)",,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Animalia,Arthropoda,Insecta,Coleoptera,Ptiliidae,,,
R00234,Acrotrichis josephi,"(A.Matthews, 1872)",,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Animalia,Arthropoda,Insecta,Coleoptera,Ptiliidae,,,
R00235,Acrotrichis sanctaehelenae,"Johnson, 1972",,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Animalia,Arthropoda,Insecta,Coleoptera,Ptiliidae,,,
R18459,Actaea racemosa,L.,,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,,,
R00237,Actaea rubra,(Aiton) Willd.,,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,,,
R17594,Actaea savignii,"(H.Milne Edwards, 1834)",,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Animalia,Arthropoda,Malacostraca,Decapoda,Xanthidae,,,
R19108,Actaeodes tomentosus ,"(H.Milne Edwards, 1834)",,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Animalia,Arthropoda,Arachnida,Acarida,Tydeidae,,,
R00238,Acteocina crithodes,"(Melvill & Standen, 1901)",,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Animalia,Mollusca,Gastropoda,Cephalaspidea,Cylichnidae,,,
R00239,Acteocina mucronata,"(Philippi, 1849)",,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Animalia,Mollusca,Gastropoda,Cephalaspidea,Cylichnidae,,,
R17755,Actias isabellae,"(Graells, 1849)",,,A,FALSE,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,Animalia,Arthropoda,Insecta,Lepidoptera,Saturniidae,,,
R00242,Actinidia arguta,(Siebold & Zucc.) Planch. ex Miq.,,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Plantae,Tracheophyta,Magnoliopsida,Theales,Actinidiaceae,,,
R00243,Actinidia chinensis,Planch.,,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Plantae,Tracheophyta,Magnoliopsida,Theales,Actinidiaceae,,,
R00244,Actinidia deliciosa,(A.Chev.) C.F.Liang & A.R.Ferguson,,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Plantae,Tracheophyta,Magnoliopsida,Theales,Actinidiaceae,,,
R01833,Actinobacillus rossii,"Sneath & Stevens, 1990",,,C,FALSE,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,,,
R00245,Actinocleidus oculatus,"(Mueller, 1934) Mueller, 1937",,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Animalia,Platyhelminthes,Trematoda,Monopisthocotylea,Dactylogyridae,,,
R00246,Actinocleidus recurvatus,"Mizelle & Donahue, 1944",,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Animalia,Platyhelminthes,Trematoda,Monopisthocotylea,Dactylogyridae,,,
R00247,Actinocyclus normanii,(W.Greg.) Hust.,,,A,FALSE,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,Chromista,Ochrophyta,Bacillariophyceae,Coscinodiscales,Hemidiscaceae,,,
R00248,Actinopteryx fucicola,"(Allibert, 1844)",,,A,FALSE,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,Animalia,Arthropoda,Insecta,Coleoptera,Ptiliidae,,,
R00250,Actumnus globulus,"Heller, 1861",,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Animalia,Arthropoda,Malacostraca,Decapoda,Pilumnidae,,,
R00251,Aculops allotrichus,"(Nalepa, 1894)",,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Animalia,Arthropoda,Arachnida,Prostigmata,Eriophyidae,,,
R00252,Aculops fuchsiae,"Keifer, 1972",,,A,TRUE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Animalia,Arthropoda,Arachnida,Prostigmata,Eriophyidae,,,
